Year,Food price index,Unit measure,Unit multiplier,Observation status,Value
1988 01,,Index,Units,Undefined,
1988 02,,Index,Units,Undefined,
1988 03,,Index,Units,Undefined,
1988 04,,Index,Units,Undefined,
1988 05,,Index,Units,Undefined,
1988 06,,Index,Units,Undefined,
1988 07,,Index,Units,Undefined,
1988 08,,Index,Units,Undefined,
1988 09,,Index,Units,Undefined,
1988 10,,Index,Units,Undefined,
1988 11,,Index,Units,Undefined,
1988 12,,Index,Units,Undefined,
1989 01,,Index,Units,Undefined,0.976484123
1989 02,,Index,Units,Undefined,0.69517029
1989 03,,Index,Units,Undefined,0.704632007
1989 04,,Index,Units,Undefined,0.938913997
1989 05,,Index,Units,Undefined,1.239897863
1989 06,,Index,Units,Undefined,1.149375634
1989 07,,Index,Units,Undefined,0.672573099
1989 08,,Index,Units,Undefined,0.543469382
1989 09,,Index,Units,Undefined,0.800985393
1989 10,,Index,Units,Undefined,1.585230666
1989 11,,Index,Units,Undefined,1.889821648
1989 12,,Index,Units,Undefined,1.870847274
1990 01,,Index,Units,Undefined,2.114970022
1990 02,,Index,Units,Undefined,2.187314321
1990 03,,Index,Units,Undefined,2.016720911
1990 04,,Index,Units,Undefined,1.775349237
1990 05,,Index,Units,Undefined,1.885338368
1990 06,,Index,Units,Undefined,1.636737756
1990 07,,Index,Units,Undefined,0.810754333
1990 08,,Index,Units,Undefined,0.949691644
1990 09,,Index,Units,Undefined,1.037273727
1990 10,,Index,Units,Undefined,1.210190264
1990 11,,Index,Units,Undefined,1.099101588
1990 12,,Index,Units,Undefined,1.201082564
1991 01,,Index,Units,Undefined,1.359734634
1991 02,,Index,Units,Undefined,1.52200848
1991 03,,Index,Units,Undefined,1.223045478
1991 04,,Index,Units,Undefined,1.295991342
1991 05,,Index,Units,Undefined,0.517171712
1991 06,,Index,Units,Undefined,1.081609917
1991 07,,Index,Units,Undefined,0.210338882
1991 08,,Index,Units,Undefined,0.722198229
1991 09,,Index,Units,Undefined,-0.202354255
1991 10,,Index,Units,Undefined,0.285164566
1991 11,,Index,Units,Undefined,0.257325852
1991 12,,Index,Units,Undefined,0.619382184
1992 01,,Index,Units,Undefined,0.882733024
1992 02,,Index,Units,Undefined,0.574634694
1992 03,,Index,Units,Undefined,0.552637158
1992 04,,Index,Units,Undefined,-0.179483447
1992 05,,Index,Units,Undefined,-0.012694536
1992 06,,Index,Units,Undefined,-0.526863105
1992 07,,Index,Units,Undefined,-0.759187031
1992 08,,Index,Units,Undefined,-0.980245498
1992 09,,Index,Units,Undefined,-0.793196022
1992 10,,Index,Units,Undefined,-0.18957473
1992 11,,Index,Units,Undefined,-0.587756451
1992 12,,Index,Units,Undefined,-0.023807247
1993 01,,Index,Units,Undefined,-0.125562589
1993 02,,Index,Units,Undefined,0.346611994
1993 03,,Index,Units,Undefined,0.416803665
1993 04,,Index,Units,Undefined,0.152886948
1993 05,,Index,Units,Undefined,0.329226142
1993 06,,Index,Units,Undefined,-0.088433323
1993 07,,Index,Units,Undefined,0.336637273
1993 08,,Index,Units,Undefined,-0.181049584
1993 09,,Index,Units,Undefined,-0.127698132
1993 10,,Index,Units,Undefined,-0.707122098
1993 11,,Index,Units,Undefined,-0.879216277
1993 12,,Index,Units,Undefined,-0.803543601
1994 01,,Index,Units,Undefined,-0.296760107
1994 02,,Index,Units,Undefined,-0.078016764
1994 03,,Index,Units,Undefined,-0.007319892
1994 04,,Index,Units,Undefined,0.100441146
1994 05,,Index,Units,Undefined,0.135725074
1994 06,,Index,Units,Undefined,0.022440457
1994 07,,Index,Units,Undefined,-0.418325069
1994 08,,Index,Units,Undefined,-0.56058105
1994 09,,Index,Units,Undefined,-1.086213813
1994 10,,Index,Units,Undefined,-0.768315695
1994 11,,Index,Units,Undefined,-0.466334092
1994 12,,Index,Units,Undefined,0.339545009
1995 01,,Index,Units,Undefined,0.713360519
1995 02,,Index,Units,Undefined,0.707109253
1995 03,,Index,Units,Undefined,0.5944465
1995 04,,Index,Units,Undefined,0.270427208
1995 05,,Index,Units,Undefined,0.856429978
1995 06,,Index,Units,Undefined,0.325286877
1995 07,,Index,Units,Undefined,0.04456834
1995 08,,Index,Units,Undefined,0.435396468
1995 09,,Index,Units,Undefined,0.944851155
1995 10,,Index,Units,Undefined,0.498981214
1995 11,,Index,Units,Undefined,-0.200129746
1995 12,,Index,Units,Undefined,0.123309192
1996 01,,Index,Units,Undefined,0.735601228
1996 02,,Index,Units,Undefined,1.12132918
1996 03,,Index,Units,Undefined,1.039383317
1996 04,,Index,Units,Undefined,0.839692836
1996 05,,Index,Units,Undefined,0.670444295
1996 06,,Index,Units,Undefined,0.471905977
1996 07,,Index,Units,Undefined,-0.160121448
1996 08,,Index,Units,Undefined,-0.115022719
1996 09,,Index,Units,Undefined,-0.727849179
1996 10,,Index,Units,Undefined,-0.440937729
1996 11,,Index,Units,Undefined,-1.116291384
1996 12,,Index,Units,Undefined,-0.867708247
1997 01,,Index,Units,Undefined,-0.296985683
1997 02,,Index,Units,Undefined,-0.491651796
1997 03,,Index,Units,Undefined,-1.093880583
1997 04,,Index,Units,Undefined,-1.17948012
1997 05,,Index,Units,Undefined,-0.861854235
1997 06,,Index,Units,Undefined,-0.106787365
1997 07,,Index,Units,Undefined,-0.222095251
1997 08,,Index,Units,Undefined,-0.582619553
1997 09,,Index,Units,Undefined,-0.792995229
1997 10,,Index,Units,Undefined,-0.41453097
1997 11,,Index,Units,Undefined,-0.578950455
1997 12,,Index,Units,Undefined,-0.512120245
1998 01,,Index,Units,Undefined,-0.745180037
1998 02,,Index,Units,Undefined,-0.825746338
1998 03,,Index,Units,Undefined,-0.832286001
1998 04,,Index,Units,Undefined,-0.604473936
1998 05,,Index,Units,Undefined,0.186088826
1998 06,,Index,Units,Undefined,-0.134707667
1998 07,,Index,Units,Undefined,-0.241759198
1998 08,,Index,Units,Undefined,-0.161911965
1998 09,,Index,Units,Undefined,-0.190554251
1998 10,,Index,Units,Undefined,-0.062762521
1998 11,,Index,Units,Undefined,-0.548295639
1998 12,,Index,Units,Undefined,0.146386212
1999 01,,Index,Units,Undefined,0.284556289
1999 02,,Index,Units,Undefined,0.474232568
1999 03,,Index,Units,Undefined,-0.194019533
1999 04,,Index,Units,Undefined,-0.617601028
1999 05,,Index,Units,Undefined,-0.530928075
1999 06,,Index,Units,Undefined,-0.51288831
1999 07,,Index,Units,Undefined,-0.889963044
1999 08,,Index,Units,Undefined,-1.45147345
1999 09,,Index,Units,Undefined,-1.327824072
1999 10,,Index,Units,Undefined,-1.018035299
1999 11,,Index,Units,Undefined,-0.670052284
1999 12,,Index,Units,Undefined,-0.702478521
2000 01,,Index,Units,Undefined,-0.762104538
2000 02,,Index,Units,Undefined,-0.988911176
2000 03,,Index,Units,Undefined,-1.366366555
2000 04,,Index,Units,Undefined,-1.436287955
2000 05,,Index,Units,Undefined,-0.97885009
2000 06,,Index,Units,Undefined,-0.324751882
2000 07,,Index,Units,Undefined,0.461788913
2000 08,,Index,Units,Undefined,-0.329186256
2000 09,,Index,Units,Undefined,-0.25676247
2000 10,,Index,Units,Undefined,-0.548263315
2000 11,,Index,Units,Undefined,-0.03307268
2000 12,,Index,Units,Undefined,-0.004282412
2001 01,,Index,Units,Undefined,0.07408736
2001 02,,Index,Units,Undefined,-0.011882271
2001 03,,Index,Units,Undefined,0.774695314
2001 04,,Index,Units,Undefined,0.94245219
2001 05,,Index,Units,Undefined,2.278310515
2001 06,,Index,Units,Undefined,2.050390872
2001 07,,Index,Units,Undefined,0.642686635
2001 08,,Index,Units,Undefined,-0.304590764
2001 09,,Index,Units,Undefined,-0.622687852
2001 10,,Index,Units,Undefined,0.141438883
2001 11,,Index,Units,Undefined,0.113683177
2001 12,,Index,Units,Undefined,0.403258042
2002 01,,Index,Units,Undefined,0.778156105
2002 02,,Index,Units,Undefined,0.673024301
2002 03,,Index,Units,Undefined,0.367692097
2002 04,,Index,Units,Undefined,-0.11917076
2002 05,,Index,Units,Undefined,-0.831661283
2002 06,,Index,Units,Undefined,-1.488440548
2002 07,,Index,Units,Undefined,-0.967044328
2002 08,,Index,Units,Undefined,-0.892501074
2002 09,,Index,Units,Undefined,-0.509293046
2002 10,,Index,Units,Undefined,-0.462714832
2002 11,,Index,Units,Undefined,-0.415960288
2002 12,,Index,Units,Undefined,-0.578656312
2003 01,,Index,Units,Undefined,-0.797865747
2003 02,,Index,Units,Undefined,-0.392376612
2003 03,,Index,Units,Undefined,-0.299516068
2003 04,,Index,Units,Undefined,-0.01761144
2003 05,,Index,Units,Undefined,0.104711625
2003 06,,Index,Units,Undefined,-0.112231906
2003 07,,Index,Units,Undefined,-0.250468909
2003 08,,Index,Units,Undefined,-0.404460988
2003 09,,Index,Units,Undefined,0.269398774
2003 10,,Index,Units,Undefined,0.314270951
2003 11,,Index,Units,Undefined,0.535609718
2003 12,,Index,Units,Undefined,0.361310666
2004 01,,Index,Units,Undefined,0.168923094
2004 02,,Index,Units,Undefined,-0.038505227
2004 03,,Index,Units,Undefined,-0.186412092
2004 04,,Index,Units,Undefined,-0.255456929
2004 05,,Index,Units,Undefined,-0.268160082
2004 06,,Index,Units,Undefined,-0.521101456
2004 07,,Index,Units,Undefined,-0.919188696
2004 08,,Index,Units,Undefined,-1.157388553
2004 09,,Index,Units,Undefined,-0.908521166
2004 10,,Index,Units,Undefined,-0.589164506
2004 11,,Index,Units,Undefined,-0.212017243
2004 12,,Index,Units,Undefined,-0.112127496
2005 01,,Index,Units,Undefined,0.044649727
2005 02,,Index,Units,Undefined,0.152414564
2005 03,,Index,Units,Undefined,0.477038725
2005 04,,Index,Units,Undefined,-0.091468835
2005 05,,Index,Units,Undefined,-0.010746052
2005 06,,Index,Units,Undefined,-0.10920781
2005 07,,Index,Units,Undefined,-0.424080659
2005 08,,Index,Units,Undefined,-0.443272466
2005 09,,Index,Units,Undefined,-0.500538585
2005 10,,Index,Units,Undefined,-0.184297493
2005 11,,Index,Units,Undefined,-0.052582296
2005 12,,Index,Units,Undefined,0.078947779
2006 01,,Index,Units,Undefined,-0.103869444
2006 02,,Index,Units,Undefined,-0.107101805
2006 03,,Index,Units,Undefined,-0.838599997
2006 04,,Index,Units,Undefined,-0.656592591
2006 05,,Index,Units,Undefined,-0.297513622
2006 06,,Index,Units,Undefined,0.325643304
2006 07,,Index,Units,Undefined,0.86354685
2006 08,,Index,Units,Undefined,0.573685336
2006 09,,Index,Units,Undefined,0.492871681
2006 10,,Index,Units,Undefined,0.741819215
2006 11,,Index,Units,Undefined,1.028312904
2006 12,,Index,Units,Undefined,0.925022891
2007 01,,Index,Units,Undefined,0.34978095
2007 02,,Index,Units,Undefined,0.284664329
2007 03,,Index,Units,Undefined,0.682075479
2007 04,,Index,Units,Undefined,1.105691944
2007 05,,Index,Units,Undefined,0.777214456
2007 06,,Index,Units,Undefined,0.740953577
2007 07,,Index,Units,Undefined,-0.38109776
2007 08,,Index,Units,Undefined,-0.244815361
2007 09,,Index,Units,Undefined,0.21365447
2007 10,,Index,Units,Undefined,1.683649267
2007 11,,Index,Units,Undefined,1.854645582
2007 12,,Index,Units,Undefined,1.795459539
2008 01,,Index,Units,Undefined,1.267747379
2008 02,,Index,Units,Undefined,0.93634097
2008 03,,Index,Units,Undefined,0.716733466
2008 04,,Index,Units,Undefined,1.544639617
2008 05,,Index,Units,Undefined,2.235778614
2008 06,,Index,Units,Undefined,3.235722049
2008 07,,Index,Units,Undefined,3.58129064
2008 08,,Index,Units,Undefined,3.626908903
2008 09,,Index,Units,Undefined,2.444740865
2008 10,,Index,Units,Undefined,2.058824741
2008 11,,Index,Units,Undefined,2.215477018
2008 12,,Index,Units,Undefined,2.525819514
2009 01,,Index,Units,Undefined,2.133118902
2009 02,,Index,Units,Undefined,2.305107152
2009 03,,Index,Units,Undefined,1.627375987
2009 04,,Index,Units,Undefined,1.276221249
2009 05,,Index,Units,Undefined,1.050790787
2009 06,,Index,Units,Undefined,0.614273101
2009 07,,Index,Units,Undefined,0.303065423
2009 08,,Index,Units,Undefined,-0.740614276
2009 09,,Index,Units,Undefined,-1.058464117
2009 10,,Index,Units,Undefined,-0.443059081
2009 11,,Index,Units,Undefined,-0.041207811
2009 12,,Index,Units,Undefined,0.559233299
2010 01,,Index,Units,Undefined,0.168024399
2010 02,,Index,Units,Undefined,0.10783623
2010 03,,Index,Units,Undefined,0.069305459
2010 04,,Index,Units,Undefined,0.437410782
2010 05,,Index,Units,Undefined,-0.276799418
2010 06,,Index,Units,Undefined,-0.166616932
2010 07,,Index,Units,Undefined,0.237144976
2010 08,,Index,Units,Undefined,0.556870114
2010 09,,Index,Units,Undefined,0.667836581
2010 10,,Index,Units,Undefined,0.387876365
2010 11,,Index,Units,Undefined,1.013718088
2010 12,,Index,Units,Undefined,1.66547141
2011 01,,Index,Units,Undefined,1.461624211
2011 02,,Index,Units,Undefined,1.289238458
2011 03,,Index,Units,Undefined,-0.029430908
2011 04,,Index,Units,Undefined,0.00558935
2011 05,,Index,Units,Undefined,0.445760624
2011 06,,Index,Units,Undefined,1.522832974
2011 07,,Index,Units,Undefined,1.423664061
2011 08,,Index,Units,Undefined,0.908202171
2011 09,,Index,Units,Undefined,0.66971958
2011 10,,Index,Units,Undefined,0.142841319
2011 11,,Index,Units,Undefined,0.228942288
2011 12,,Index,Units,Undefined,0.556914396
2012 01,,Index,Units,Undefined,0.620451046
2012 02,,Index,Units,Undefined,0.654779784
2012 03,,Index,Units,Undefined,0.383996823
2012 04,,Index,Units,Undefined,0.388709536
2012 05,,Index,Units,Undefined,0.08689426
2012 06,,Index,Units,Undefined,-0.148996419
2012 07,,Index,Units,Undefined,-0.124715382
2012 08,,Index,Units,Undefined,-0.16122697
2012 09,,Index,Units,Undefined,-0.085621302
2012 10,,Index,Units,Undefined,0.372670636
2012 11,,Index,Units,Undefined,0.786580735
2012 12,,Index,Units,Undefined,1.25753449
2013 01,,Index,Units,Undefined,1.145573164
2013 02,,Index,Units,Undefined,0.933152084
2013 03,,Index,Units,Undefined,0.164767399
2013 04,,Index,Units,Undefined,0.711201696
2013 05,,Index,Units,Undefined,0.341517076
2013 06,,Index,Units,Undefined,0.245828032
2013 07,,Index,Units,Undefined,0.188333803
2013 08,,Index,Units,Undefined,0.480323431
2013 09,,Index,Units,Undefined,0.727043429
2013 10,,Index,Units,Undefined,0.552023041
2013 11,,Index,Units,Undefined,0.077496037
2013 12,,Index,Units,Undefined,0.051121068
2014 01,,Index,Units,Undefined,0.039735506
2014 02,,Index,Units,Undefined,0.133297159
2014 03,,Index,Units,Undefined,-0.213476644
2014 04,,Index,Units,Undefined,-0.685989516
2014 05,,Index,Units,Undefined,-1.388904084
2014 06,,Index,Units,Undefined,-1.121467879
2014 07,,Index,Units,Undefined,-1.116323022
2014 08,,Index,Units,Undefined,-0.911660131
2014 09,,Index,Units,Undefined,-1.000541379
2014 10,,Index,Units,Undefined,-0.95736511
2014 11,,Index,Units,Undefined,-0.957744821
2014 12,,Index,Units,Undefined,-0.806771955
2015 01,,Index,Units,Undefined,-1.313778699
2015 02,,Index,Units,Undefined,-1.511114283
2015 03,,Index,Units,Undefined,-1.67401668
2015 04,,Index,Units,Undefined,-1.452841689
2015 05,,Index,Units,Undefined,-1.076742239
2015 06,,Index,Units,Undefined,-1.219370222
2015 07,,Index,Units,Undefined,-1.416007147
2015 08,,Index,Units,Undefined,-1.531946717
2015 09,,Index,Units,Undefined,-1.334074135
2015 10,,Index,Units,Undefined,-1.319071335
2015 11,,Index,Units,Undefined,-1.183465848
2015 12,,Index,Units,Undefined,-1.312332758
2016 01,,Index,Units,Undefined,-1.303341147
2016 02,,Index,Units,Undefined,-1.224494338
2016 03,,Index,Units,Undefined,-1.552785878
2016 04,,Index,Units,Undefined,-1.281163549
2016 05,,Index,Units,Undefined,-1.59712978
2016 06,,Index,Units,Undefined,-1.557280547
2016 07,,Index,Units,Undefined,-1.471867193
2016 08,,Index,Units,Undefined,-0.950156861
2016 09,,Index,Units,Undefined,-0.965359702
2016 10,,Index,Units,Undefined,-0.959206334
2016 11,,Index,Units,Undefined,-0.910246164
2016 12,,Index,Units,Undefined,-0.441163235
2017 01,,Index,Units,Undefined,-0.202020134
2017 02,,Index,Units,Undefined,-0.018634826
2017 03,,Index,Units,Undefined,0.207087581
2017 04,,Index,Units,Undefined,0.278652152
2017 05,,Index,Units,Undefined,0.204947022
2017 06,,Index,Units,Undefined,-0.041907725
2017 07,,Index,Units,Undefined,-0.085398826
2017 08,,Index,Units,Undefined,-0.188141105
2017 09,,Index,Units,Undefined,0.38363831
2017 10,,Index,Units,Undefined,0.733893172
2017 11,,Index,Units,Undefined,0.907086068
2017 12,,Index,Units,Undefined,0.763124521
2018 01,,Index,Units,Undefined,0.501147259
2018 02,,Index,Units,Undefined,0.272122733
2018 03,,Index,Units,Undefined,0.096422807
2018 04,,Index,Units,Undefined,-0.114838105
2018 05,,Index,Units,Undefined,-0.298694872
2018 06,,Index,Units,Undefined,-0.606470857
2018 07,,Index,Units,Undefined,-0.380066077
2018 08,,Index,Units,Undefined,-0.184743217
2018 09,,Index,Units,Undefined,-0.256875271
2018 10,,Index,Units,Undefined,-0.489064381
2018 11,,Index,Units,Undefined,-0.547935835
2018 12,,Index,Units,Undefined,-0.176779438
2019 01,,Index,Units,Undefined,-0.125805705
2019 02,,Index,Units,Undefined,-0.057297987
2019 03,,Index,Units,Undefined,-0.396898218
2019 04,,Index,Units,Undefined,-0.470472489
2019 05,,Index,Units,Undefined,-0.505250551
2019 06,,Index,Units,Undefined,-0.306583986
2019 07,,Index,Units,Undefined,-0.202191227
2019 08,,Index,Units,Undefined,0.0094391
2019 09,,Index,Units,Undefined,-0.133116907
2019 10,,Index,Units,Undefined,-0.497030744
2019 11,,Index,Units,Undefined,-0.188525919
2019 12,,Index,Units,Undefined,-0.051542456
2020 01,,Index,Units,Undefined,0.066541044
2020 02,,Index,Units,Undefined,-0.302391552
2020 03,,Index,Units,Undefined,-0.356328965
2020 04,,Index,Units,Undefined,-0.286700851
2020 05,,Index,Units,Undefined,-0.088059058
2020 06,,Index,Units,Undefined,-0.436668815
2020 07,,Index,Units,Undefined,-0.57506895
2020 08,,Index,Units,Undefined,-0.69378009
1988 01,Bread and cereal,Index,Units,Undefined,
1988 02,Bread and cereal,Index,Units,Undefined,
1988 03,Bread and cereal,Index,Units,Undefined,
1988 04,Bread and cereal,Index,Units,Undefined,
1988 05,Bread and cereal,Index,Units,Undefined,
1988 06,Bread and cereal,Index,Units,Undefined,
1988 07,Bread and cereal,Index,Units,Undefined,
1988 08,Bread and cereal,Index,Units,Undefined,
1988 09,Bread and cereal,Index,Units,Undefined,
1988 10,Bread and cereal,Index,Units,Undefined,
1988 11,Bread and cereal,Index,Units,Undefined,
1988 12,Bread and cereal,Index,Units,Undefined,
1989 01,Bread and cereal,Index,Units,Undefined,1.088048953
1989 02,Bread and cereal,Index,Units,Undefined,1.230344316
1989 03,Bread and cereal,Index,Units,Undefined,1.347115247
1989 04,Bread and cereal,Index,Units,Undefined,1.499726824
1989 05,Bread and cereal,Index,Units,Undefined,1.0830069
1989 06,Bread and cereal,Index,Units,Undefined,1.128964374
1989 07,Bread and cereal,Index,Units,Undefined,0.863990485
1989 08,Bread and cereal,Index,Units,Undefined,0.773467755
1989 09,Bread and cereal,Index,Units,Undefined,0.766218777
1989 10,Bread and cereal,Index,Units,Undefined,0.763820631
1989 11,Bread and cereal,Index,Units,Undefined,1.015017851
1989 12,Bread and cereal,Index,Units,Undefined,1.111534383
1990 01,Bread and cereal,Index,Units,Undefined,1.353574293
1990 02,Bread and cereal,Index,Units,Undefined,1.482654117
1990 03,Bread and cereal,Index,Units,Undefined,1.413501619
1990 04,Bread and cereal,Index,Units,Undefined,1.396300268
1990 05,Bread and cereal,Index,Units,Undefined,1.469481187
1990 06,Bread and cereal,Index,Units,Undefined,1.405616384
1990 07,Bread and cereal,Index,Units,Undefined,1.105730597
1990 08,Bread and cereal,Index,Units,Undefined,1.268911162
1990 09,Bread and cereal,Index,Units,Undefined,1.259527014
1990 10,Bread and cereal,Index,Units,Undefined,1.475583982
1990 11,Bread and cereal,Index,Units,Undefined,1.496394962
1990 12,Bread and cereal,Index,Units,Undefined,1.581956652
1991 01,Bread and cereal,Index,Units,Undefined,2.073498599
1991 02,Bread and cereal,Index,Units,Undefined,1.941613892
1991 03,Bread and cereal,Index,Units,Undefined,1.874451491
1991 04,Bread and cereal,Index,Units,Undefined,1.445940025
1991 05,Bread and cereal,Index,Units,Undefined,1.165267031
1991 06,Bread and cereal,Index,Units,Undefined,1.18693724
1991 07,Bread and cereal,Index,Units,Undefined,1.040473413
1991 08,Bread and cereal,Index,Units,Undefined,1.224492652
1991 09,Bread and cereal,Index,Units,Undefined,0.53988048
1991 10,Bread and cereal,Index,Units,Undefined,0.679122025
1991 11,Bread and cereal,Index,Units,Undefined,0.593274621
1991 12,Bread and cereal,Index,Units,Undefined,0.753461397
1992 01,Bread and cereal,Index,Units,Undefined,0.760851395
1992 02,Bread and cereal,Index,Units,Undefined,0.831829865
1992 03,Bread and cereal,Index,Units,Undefined,0.890664022
1992 04,Bread and cereal,Index,Units,Undefined,0.435088386
1992 05,Bread and cereal,Index,Units,Undefined,0.475089154
1992 06,Bread and cereal,Index,Units,Undefined,0.288027926
1992 07,Bread and cereal,Index,Units,Undefined,0.562851205
1992 08,Bread and cereal,Index,Units,Undefined,-0.002914301
1992 09,Bread and cereal,Index,Units,Undefined,0.557124092
1992 10,Bread and cereal,Index,Units,Undefined,0.174993085
1992 11,Bread and cereal,Index,Units,Undefined,0.11890118
1992 12,Bread and cereal,Index,Units,Undefined,0.413410079
1993 01,Bread and cereal,Index,Units,Undefined,0.476301549
1993 02,Bread and cereal,Index,Units,Undefined,0.600365891
1993 03,Bread and cereal,Index,Units,Undefined,0.289094702
1993 04,Bread and cereal,Index,Units,Undefined,0.597302649
1993 05,Bread and cereal,Index,Units,Undefined,0.416904427
1993 06,Bread and cereal,Index,Units,Undefined,0.369765651
1993 07,Bread and cereal,Index,Units,Undefined,0.494702428
1993 08,Bread and cereal,Index,Units,Undefined,0.538973093
1993 09,Bread and cereal,Index,Units,Undefined,0.317839714
1993 10,Bread and cereal,Index,Units,Undefined,-0.039865429
1993 11,Bread and cereal,Index,Units,Undefined,-0.230150308
1993 12,Bread and cereal,Index,Units,Undefined,-0.463257662
1994 01,Bread and cereal,Index,Units,Undefined,-0.358005414
1994 02,Bread and cereal,Index,Units,Undefined,-0.161893803
1994 03,Bread and cereal,Index,Units,Undefined,-0.219323807
1994 04,Bread and cereal,Index,Units,Undefined,-0.333884173
1994 05,Bread and cereal,Index,Units,Undefined,-0.746752907
1994 06,Bread and cereal,Index,Units,Undefined,-0.77515042
1994 07,Bread and cereal,Index,Units,Undefined,-0.842257397
1994 08,Bread and cereal,Index,Units,Undefined,-0.588323924
1994 09,Bread and cereal,Index,Units,Undefined,-0.735807752
1994 10,Bread and cereal,Index,Units,Undefined,-1.139933123
1994 11,Bread and cereal,Index,Units,Undefined,-0.804387741
1994 12,Bread and cereal,Index,Units,Undefined,-0.492305588
1995 01,Bread and cereal,Index,Units,Undefined,-0.514743042
1995 02,Bread and cereal,Index,Units,Undefined,-0.976849213
1995 03,Bread and cereal,Index,Units,Undefined,-0.668156264
1995 04,Bread and cereal,Index,Units,Undefined,-0.8565127
1995 05,Bread and cereal,Index,Units,Undefined,0.059815458
1995 06,Bread and cereal,Index,Units,Undefined,0.005741332
1995 07,Bread and cereal,Index,Units,Undefined,0.424229454
1995 08,Bread and cereal,Index,Units,Undefined,-0.159389013
1995 09,Bread and cereal,Index,Units,Undefined,-0.091587186
1995 10,Bread and cereal,Index,Units,Undefined,0.018127085
1995 11,Bread and cereal,Index,Units,Undefined,0.066239675
1995 12,Bread and cereal,Index,Units,Undefined,0.108409214
1996 01,Bread and cereal,Index,Units,Undefined,0.177104579
1996 02,Bread and cereal,Index,Units,Undefined,0.580612083
1996 03,Bread and cereal,Index,Units,Undefined,0.274523656
1996 04,Bread and cereal,Index,Units,Undefined,0.272924774
1996 05,Bread and cereal,Index,Units,Undefined,0.225763596
1996 06,Bread and cereal,Index,Units,Undefined,0.212114876
1996 07,Bread and cereal,Index,Units,Undefined,0.0721423
1996 08,Bread and cereal,Index,Units,Undefined,-0.134612729
1996 09,Bread and cereal,Index,Units,Undefined,-0.306093574
1996 10,Bread and cereal,Index,Units,Undefined,-0.390108918
1996 11,Bread and cereal,Index,Units,Undefined,-0.777285458
1996 12,Bread and cereal,Index,Units,Undefined,-0.961747963
1997 01,Bread and cereal,Index,Units,Undefined,-0.801522166
1997 02,Bread and cereal,Index,Units,Undefined,-0.359862403
1997 03,Bread and cereal,Index,Units,Undefined,-0.631477334
1997 04,Bread and cereal,Index,Units,Undefined,-0.692607075
1997 05,Bread and cereal,Index,Units,Undefined,-0.935009796
1997 06,Bread and cereal,Index,Units,Undefined,-0.30961141
1997 07,Bread and cereal,Index,Units,Undefined,-0.353895908
1997 08,Bread and cereal,Index,Units,Undefined,-0.227434634
1997 09,Bread and cereal,Index,Units,Undefined,-0.680129461
1997 10,Bread and cereal,Index,Units,Undefined,-0.322117455
1997 11,Bread and cereal,Index,Units,Undefined,-0.817441289
1997 12,Bread and cereal,Index,Units,Undefined,-0.413921087
1998 01,Bread and cereal,Index,Units,Undefined,-1.005400366
1998 02,Bread and cereal,Index,Units,Undefined,-0.909847576
1998 03,Bread and cereal,Index,Units,Undefined,-1.193809789
1998 04,Bread and cereal,Index,Units,Undefined,-0.609594996
1998 05,Bread and cereal,Index,Units,Undefined,-0.621013343
1998 06,Bread and cereal,Index,Units,Undefined,-0.029283723
1998 07,Bread and cereal,Index,Units,Undefined,-0.226187647
1998 08,Bread and cereal,Index,Units,Undefined,-0.164794825
1998 09,Bread and cereal,Index,Units,Undefined,-0.222614771
1998 10,Bread and cereal,Index,Units,Undefined,-0.404706451
1998 11,Bread and cereal,Index,Units,Undefined,-0.084016319
1998 12,Bread and cereal,Index,Units,Undefined,-0.156995743
1999 01,Bread and cereal,Index,Units,Undefined,-0.545711878
1999 02,Bread and cereal,Index,Units,Undefined,-0.577090534
1999 03,Bread and cereal,Index,Units,Undefined,-0.911403066
1999 04,Bread and cereal,Index,Units,Undefined,-0.269927759
1999 05,Bread and cereal,Index,Units,Undefined,-0.457784114
1999 06,Bread and cereal,Index,Units,Undefined,-0.531501984
1999 07,Bread and cereal,Index,Units,Undefined,-0.365736376
1999 08,Bread and cereal,Index,Units,Undefined,-0.404245774
1999 09,Bread and cereal,Index,Units,Undefined,-0.586602232
1999 10,Bread and cereal,Index,Units,Undefined,-0.895733556
1999 11,Bread and cereal,Index,Units,Undefined,-0.862944097
1999 12,Bread and cereal,Index,Units,Undefined,-0.542035491
2000 01,Bread and cereal,Index,Units,Undefined,-0.205228467
2000 02,Bread and cereal,Index,Units,Undefined,-0.420714235
2000 03,Bread and cereal,Index,Units,Undefined,-0.673939204
2000 04,Bread and cereal,Index,Units,Undefined,-0.884840303
2000 05,Bread and cereal,Index,Units,Undefined,-0.741863683
2000 06,Bread and cereal,Index,Units,Undefined,-0.653786871
2000 07,Bread and cereal,Index,Units,Undefined,-0.603519551
2000 08,Bread and cereal,Index,Units,Undefined,-0.72059891
2000 09,Bread and cereal,Index,Units,Undefined,-0.403781016
2000 10,Bread and cereal,Index,Units,Undefined,-0.509177235
2000 11,Bread and cereal,Index,Units,Undefined,-0.303818598
2000 12,Bread and cereal,Index,Units,Undefined,-0.620193626
2001 01,Bread and cereal,Index,Units,Undefined,-0.575777972
2001 02,Bread and cereal,Index,Units,Undefined,-0.321294935
2001 03,Bread and cereal,Index,Units,Undefined,-0.337232785
