Year,Gas,Sector (end-user),Sector detail (end-user),Sector (source),Sector detail (source),Observation status,Unit multiplier,Unit measure,Value
1990,Net CO2 emissions (emissions minus removals),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),595.713001121
1991,Net CO2 emissions (emissions minus removals),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),603.243520702377
1992,Net CO2 emissions (emissions minus removals),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),586.936349062981
1993,Net CO2 emissions (emissions minus removals),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),572.217430078382
1994,Net CO2 emissions (emissions minus removals),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),568.18549463514
1995,Net CO2 emissions (emissions minus removals),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),559.755830748312
1996,Net CO2 emissions (emissions minus removals),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),580.508714542657
1997,Net CO2 emissions (emissions minus removals),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),553.954758146138
1998,Net CO2 emissions (emissions minus removals),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),558.377085343405
1999,Net CO2 emissions (emissions minus removals),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),552.111780723401
2000,Net CO2 emissions (emissions minus removals),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),558.465668853542
2001,Net CO2 emissions (emissions minus removals),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),566.751147358853
2002,Net CO2 emissions (emissions minus removals),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),549.946226674561
2003,Net CO2 emissions (emissions minus removals),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),561.209446404176
2004,Net CO2 emissions (emissions minus removals),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),561.883351530649
2005,Net CO2 emissions (emissions minus removals),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),558.058553328409
2006,Net CO2 emissions (emissions minus removals),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),555.066956321185
2007,Net CO2 emissions (emissions minus removals),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),546.189335252031
2008,Net CO2 emissions (emissions minus removals),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),531.383572681726
2009,Net CO2 emissions (emissions minus removals),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),481.005505647037
2010,Net CO2 emissions (emissions minus removals),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),498.480382230054
2011,Net CO2 emissions (emissions minus removals),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),455.717254201469
2012,Net CO2 emissions (emissions minus removals),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),473.850757364232
2013,Net CO2 emissions (emissions minus removals),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),463.78217824211
2014,Net CO2 emissions (emissions minus removals),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),425.016359807722
2015,Net CO2 emissions (emissions minus removals),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),408.262553748451
2016,Net CO2 emissions (emissions minus removals),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),385.098993314268
2017,Net CO2 emissions (emissions minus removals),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),373.801848991011
2018,Net CO2 emissions (emissions minus removals),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),365.657978676755
1990,Methane (CH4),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),132.533761520579
1991,Methane (CH4),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),133.28406005669
1992,Methane (CH4),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),132.959136978886
1993,Methane (CH4),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),131.385872748757
1994,Methane (CH4),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),124.489842034982
1995,Methane (CH4),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),126.022442386198
1996,Methane (CH4),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),125.153254561936
1997,Methane (CH4),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),122.847685951737
1998,Methane (CH4),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),119.311950420559
1999,Methane (CH4),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),113.752079751806
2000,Methane (CH4),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),108.558515095695
2001,Methane (CH4),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),103.669159543651
2002,Methane (CH4),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),101.231851387755
2003,Methane (CH4),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),96.1092488857751
2004,Methane (CH4),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),91.7253841236297
2005,Methane (CH4),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),86.9568079673302
2006,Methane (CH4),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),82.4796905963452
2007,Methane (CH4),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),78.587398640591
2008,Methane (CH4),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),72.9864062232487
2009,Methane (CH4),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),68.4650130442686
2010,Methane (CH4),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),63.806314475963
2011,Methane (CH4),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),61.1309294614657
2012,Methane (CH4),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),59.6625349473824
2013,Methane (CH4),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),55.6327559819908
2014,Methane (CH4),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),53.5345917606325
2015,Methane (CH4),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),52.7162405306813
2016,Methane (CH4),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),51.1524169082367
2017,Methane (CH4),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),51.5683131994603
2018,Methane (CH4),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),51.5471547612227
1990,Nitrous oxide (N2O),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),48.2433537807977
1991,Nitrous oxide (N2O),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),48.444268967742
1992,Nitrous oxide (N2O),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),43.5126173814778
1993,Nitrous oxide (N2O),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),39.2637785102894
1994,Nitrous oxide (N2O),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),39.8806923413971
1995,Nitrous oxide (N2O),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),38.6179014825162
1996,Nitrous oxide (N2O),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),38.6007207647968
1997,Nitrous oxide (N2O),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),38.8469425795097
1998,Nitrous oxide (N2O),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),38.7953660242404
1999,Nitrous oxide (N2O),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),29.262098368296
2000,Nitrous oxide (N2O),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),28.5612480613015
2001,Nitrous oxide (N2O),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),26.9818352974326
2002,Nitrous oxide (N2O),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),25.3012743096263
2003,Nitrous oxide (N2O),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),24.8622200076891
2004,Nitrous oxide (N2O),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),25.3233098706253
2005,Nitrous oxide (N2O),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),24.3710582490144
2006,Nitrous oxide (N2O),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),23.1783149673226
2007,Nitrous oxide (N2O),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),23.1868135235434
2008,Nitrous oxide (N2O),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),22.4910771781738
2009,Nitrous oxide (N2O),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),20.9981504120898
2010,Nitrous oxide (N2O),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),21.308718194602
2011,Nitrous oxide (N2O),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),20.5000105824439
2012,Nitrous oxide (N2O),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),20.3679862084621
2013,Nitrous oxide (N2O),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),20.2436083981487
2014,Nitrous oxide (N2O),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),20.8259890802976
2015,Nitrous oxide (N2O),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),20.2891970045133
2016,Nitrous oxide (N2O),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),20.2088933480253
2017,Nitrous oxide (N2O),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),20.5462177158965
2018,Nitrous oxide (N2O),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),20.4336065313277
1990,Hydrofluorocarbons (HFC),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),14.3914266541955
1991,Hydrofluorocarbons (HFC),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),14.9910183415799
1992,Hydrofluorocarbons (HFC),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),15.5975389337218
1993,Hydrofluorocarbons (HFC),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),16.5038714087629
1994,Hydrofluorocarbons (HFC),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),17.5888812279778
1995,Hydrofluorocarbons (HFC),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),19.088084523845
1996,Hydrofluorocarbons (HFC),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),20.2368310353265
1997,Hydrofluorocarbons (HFC),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),23.0847373135846
1998,Hydrofluorocarbons (HFC),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),20.0458423889396
1999,Hydrofluorocarbons (HFC),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),11.4329845702143
2000,Hydrofluorocarbons (HFC),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),9.84306974396894
2001,Hydrofluorocarbons (HFC),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),10.8437788193477
2002,Hydrofluorocarbons (HFC),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),11.3341658074433
2003,Hydrofluorocarbons (HFC),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),12.7613040558929
2004,Hydrofluorocarbons (HFC),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),11.832220756507
2005,Hydrofluorocarbons (HFC),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),13.0453273974579
2006,Hydrofluorocarbons (HFC),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),13.9472285311972
2007,Hydrofluorocarbons (HFC),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),14.3866193697068
2008,Hydrofluorocarbons (HFC),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),14.8759154263431
2009,Hydrofluorocarbons (HFC),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),15.5001381563904
2010,Hydrofluorocarbons (HFC),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),16.3530042679087
2011,Hydrofluorocarbons (HFC),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),14.8107189690645
2012,Hydrofluorocarbons (HFC),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),15.3470941364571
2013,Hydrofluorocarbons (HFC),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),15.6727135487572
2014,Hydrofluorocarbons (HFC),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),15.8708140818059
2015,Hydrofluorocarbons (HFC),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),15.8574310125064
2016,Hydrofluorocarbons (HFC),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),15.0968018280426
2017,Hydrofluorocarbons (HFC),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),14.070284138947
2018,Hydrofluorocarbons (HFC),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),13.0221030254464
1990,Perfluorocarbons (PFC),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),1.65135287226148
1991,Perfluorocarbons (PFC),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),1.38497078942956
1992,Perfluorocarbons (PFC),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.690179258828982
1993,Perfluorocarbons (PFC),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.602557259987982
1994,Perfluorocarbons (PFC),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.611221598678569
1995,Perfluorocarbons (PFC),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.596759915547916
1996,Perfluorocarbons (PFC),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.59617603791117
1997,Perfluorocarbons (PFC),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.502924128296087
1998,Perfluorocarbons (PFC),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.493711495767756
1999,Perfluorocarbons (PFC),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.473931762543211
2000,Perfluorocarbons (PFC),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.596757965001835
2001,Perfluorocarbons (PFC),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.485554810252257
2002,Perfluorocarbons (PFC),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.408196652403339
2003,Perfluorocarbons (PFC),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.35658046011252
2004,Perfluorocarbons (PFC),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.433825497696184
2005,Perfluorocarbons (PFC),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.385127734882762
2006,Perfluorocarbons (PFC),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.387652636449561
2007,Perfluorocarbons (PFC),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.28782940619568
2008,Perfluorocarbons (PFC),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.266241798153327
2009,Perfluorocarbons (PFC),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.197330594346205
2010,Perfluorocarbons (PFC),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.28770808802358
2011,Perfluorocarbons (PFC),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.416892656085693
2012,Perfluorocarbons (PFC),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.254981138296239
2013,Perfluorocarbons (PFC),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.318713921549905
2014,Perfluorocarbons (PFC),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.278314968972197
2015,Perfluorocarbons (PFC),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.327229299220511
2016,Perfluorocarbons (PFC),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.353941154895156
2017,Perfluorocarbons (PFC),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.493195627040646
2018,Perfluorocarbons (PFC),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.256838691333409
1990,Sulphur hexafluoride (SF6),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),1.3105489648866
1991,Sulphur hexafluoride (SF6),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),1.35225109272407
1992,Sulphur hexafluoride (SF6),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),1.39420180175332
1993,Sulphur hexafluoride (SF6),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),1.22107365375941
1994,Sulphur hexafluoride (SF6),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),1.26386686137719
1995,Sulphur hexafluoride (SF6),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),1.30708997532309
1996,Sulphur hexafluoride (SF6),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),1.35065881653749
1997,Sulphur hexafluoride (SF6),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),1.32337923582892
1998,Sulphur hexafluoride (SF6),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),1.36972024866502
1999,Sulphur hexafluoride (SF6),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),1.53625002450064
2000,Sulphur hexafluoride (SF6),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),1.85348996072422
2001,Sulphur hexafluoride (SF6),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),1.48678859085659
2002,Sulphur hexafluoride (SF6),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),1.52388463857075
2003,Sulphur hexafluoride (SF6),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),1.34729748900184
2004,Sulphur hexafluoride (SF6),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),1.14043052963243
2005,Sulphur hexafluoride (SF6),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),1.07603053742003
2006,Sulphur hexafluoride (SF6),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.899884213393666
2007,Sulphur hexafluoride (SF6),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.854941047393256
2008,Sulphur hexafluoride (SF6),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.698165892959884
2009,Sulphur hexafluoride (SF6),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.608026341241969
2010,Sulphur hexafluoride (SF6),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.705852733637329
2011,Sulphur hexafluoride (SF6),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.625192201707656
2012,Sulphur hexafluoride (SF6),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.605696599154383
2013,Sulphur hexafluoride (SF6),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.522051124280675
2014,Sulphur hexafluoride (SF6),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.500292271796103
2015,Sulphur hexafluoride (SF6),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.470690042348673
2016,Sulphur hexafluoride (SF6),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.49522874364534
2017,Sulphur hexafluoride (SF6),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.509583763876314
2018,Sulphur hexafluoride (SF6),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.545887028530146
1990,Nitrogen trifluoride (NF3),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.000415006531837845
1991,Nitrogen trifluoride (NF3),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.000477257511613521
1992,Nitrogen trifluoride (NF3),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.000548846138355549
1993,Nitrogen trifluoride (NF3),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.000631173059108882
1994,Nitrogen trifluoride (NF3),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.000725849017975214
1995,Nitrogen trifluoride (NF3),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.000834726370671496
1996,Nitrogen trifluoride (NF3),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.00095993532627222
1997,Nitrogen trifluoride (NF3),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.00110392562521305
1998,Nitrogen trifluoride (NF3),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.00126951446899501
1999,Nitrogen trifluoride (NF3),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.00145994163934426
2000,Nitrogen trifluoride (NF3),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.00169353230163934
2001,Nitrogen trifluoride (NF3),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.001033054704
2002,Nitrogen trifluoride (NF3),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.001033054704
2003,Nitrogen trifluoride (NF3),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.000954465652044786
2004,Nitrogen trifluoride (NF3),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.000588951506956781
2005,Nitrogen trifluoride (NF3),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.000288673077772785
2006,Nitrogen trifluoride (NF3),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.000286240263133418
2007,Nitrogen trifluoride (NF3),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.00028043415478845
2008,Nitrogen trifluoride (NF3),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.000270604422143153
2009,Nitrogen trifluoride (NF3),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.000256004401420913
2010,Nitrogen trifluoride (NF3),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.000272231091753153
2011,Nitrogen trifluoride (NF3),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.000299454200928469
2012,Nitrogen trifluoride (NF3),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.000329399621021316
2013,Nitrogen trifluoride (NF3),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.000362339583123447
2014,Nitrogen trifluoride (NF3),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.000398573541435792
2015,Nitrogen trifluoride (NF3),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.000438430895579372
2016,Nitrogen trifluoride (NF3),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.000482273985137309
2017,Nitrogen trifluoride (NF3),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.00053050138365104
2018,Nitrogen trifluoride (NF3),,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.000583551522016144
1990,,,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),793.843859920352
1991,,,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),802.700567208055
1992,,,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),781.090572263786
1993,,,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),761.195214832998
1994,,,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),752.020724548571
1995,,,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),745.388943758113
1996,,,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),766.447315694491
1997,,,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),740.56153128072
1998,,,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),738.394945436046
1999,,,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),708.5705851424
2000,,,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),707.880443212535
2001,,,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),710.219297475097
2002,,,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),689.746632525064
2003,,,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),696.647051768299
2004,,,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),692.339111260247
2005,,,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),683.893193887592
2006,,,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),675.960013506157
2007,,,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),663.493217673616
2008,,,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),642.701649805027
2009,,,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),586.774420199775
2010,,,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),600.942252221281
2011,,,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),553.201297526437
2012,,,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),570.089379793606
2013,,,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),556.172383556421
2014,,,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),516.026760544768
2015,,,,,,Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),497.923780068617
