Year,Country,Region,Ecosystem type,Units,Unit measure,Unit multiplier,GeoCode,Value
1999,England,South West,Arable,Area of Key Biodiversity Areas within protected areas (ha),Hectares (ha),Area of Key Biodiversity Areas within protected areas (ha),E12000009,4744.0
1999,England,South West,Arable,Area of Key Biodiversity Areas within protected areas (%),Percentage (%),Area of Key Biodiversity Areas within protected areas (%),E12000009,66.0
1999,England,South West,Improved grassland,Area of Key Biodiversity Areas (ha),Hectares (ha),Area of Key Biodiversity Areas (ha),E12000009,20723.0
1999,England,South West,Improved grassland,Area of Key Biodiversity Areas within protected areas (ha),Hectares (ha),Area of Key Biodiversity Areas within protected areas (ha),E12000009,14891.0
1999,England,South West,Improved grassland,Area of Key Biodiversity Areas within protected areas (%),Percentage (%),Area of Key Biodiversity Areas within protected areas (%),E12000009,72.0
1999,England,South West,Semi-natural grassland,Area of Key Biodiversity Areas (ha),Hectares (ha),Area of Key Biodiversity Areas (ha),E12000009,45582.0
1999,England,South West,Semi-natural grassland,Area of Key Biodiversity Areas within protected areas (ha),Hectares (ha),Area of Key Biodiversity Areas within protected areas (ha),E12000009,44688.0
1999,England,South West,Semi-natural grassland,Area of Key Biodiversity Areas within protected areas (%),Percentage (%),Area of Key Biodiversity Areas within protected areas (%),E12000009,98.0
1999,England,South West,"Mountain, heath, bog",Area of Key Biodiversity Areas (ha),Hectares (ha),Area of Key Biodiversity Areas (ha),E12000009,20858.0
1999,England,South West,"Mountain, heath, bog",Area of Key Biodiversity Areas within protected areas (ha),Hectares (ha),Area of Key Biodiversity Areas within protected areas (ha),E12000009,17460.0
1999,England,South West,"Mountain, heath, bog",Area of Key Biodiversity Areas within protected areas (%),Percentage (%),Area of Key Biodiversity Areas within protected areas (%),E12000009,84.0
1999,England,South West,Saltwater,Area of Key Biodiversity Areas (ha),Hectares (ha),Area of Key Biodiversity Areas (ha),E12000009,10070.0
1999,England,South West,Saltwater,Area of Key Biodiversity Areas within protected areas (ha),Hectares (ha),Area of Key Biodiversity Areas within protected areas (ha),E12000009,2264.0
1999,England,South West,Saltwater,Area of Key Biodiversity Areas within protected areas (%),Percentage (%),Area of Key Biodiversity Areas within protected areas (%),E12000009,22.0
1999,England,South West,Freshwater,Area of Key Biodiversity Areas (ha),Hectares (ha),Area of Key Biodiversity Areas (ha),E12000009,2796.0
1999,England,South West,Freshwater,Area of Key Biodiversity Areas within protected areas (ha),Hectares (ha),Area of Key Biodiversity Areas within protected areas (ha),E12000009,1337.0
1999,England,South West,Freshwater,Area of Key Biodiversity Areas within protected areas (%),Percentage (%),Area of Key Biodiversity Areas within protected areas (%),E12000009,48.0
1999,England,South West,Coastal,Area of Key Biodiversity Areas (ha),Hectares (ha),Area of Key Biodiversity Areas (ha),E12000009,18963.0
1999,England,South West,Coastal,Area of Key Biodiversity Areas within protected areas (ha),Hectares (ha),Area of Key Biodiversity Areas within protected areas (ha),E12000009,8335.0
1999,England,South West,Coastal,Area of Key Biodiversity Areas within protected areas (%),Percentage (%),Area of Key Biodiversity Areas within protected areas (%),E12000009,44.0
1999,England,South West,Built-up areas and gardens,Area of Key Biodiversity Areas (ha),Hectares (ha),Area of Key Biodiversity Areas (ha),E12000009,1730.0
1999,England,South West,Built-up areas and gardens,Area of Key Biodiversity Areas within protected areas (ha),Hectares (ha),Area of Key Biodiversity Areas within protected areas (ha),E12000009,719.0
1999,England,South West,Built-up areas and gardens,Area of Key Biodiversity Areas within protected areas (%),Percentage (%),Area of Key Biodiversity Areas within protected areas (%),E12000009,42.0
2003,England,North East,Broadleaf woodland,Area of Key Biodiversity Areas (ha),Hectares (ha),Area of Key Biodiversity Areas (ha),E12000001,3247.0
2003,England,North East,Broadleaf woodland,Area of Key Biodiversity Areas within protected areas (ha),Hectares (ha),Area of Key Biodiversity Areas within protected areas (ha),E12000001,3182.0
2003,England,North East,Broadleaf woodland,Area of Key Biodiversity Areas within protected areas (%),Percentage (%),Area of Key Biodiversity Areas within protected areas (%),E12000001,98.0
2003,England,North East,Coniferous woodland,Area of Key Biodiversity Areas (ha),Hectares (ha),Area of Key Biodiversity Areas (ha),E12000001,3240.0
2003,England,North East,Coniferous woodland,Area of Key Biodiversity Areas within protected areas (ha),Hectares (ha),Area of Key Biodiversity Areas within protected areas (ha),E12000001,3100.0
2003,England,North East,Coniferous woodland,Area of Key Biodiversity Areas within protected areas (%),Percentage (%),Area of Key Biodiversity Areas within protected areas (%),E12000001,96.0
2003,England,North East,Arable,Area of Key Biodiversity Areas (ha),Hectares (ha),Area of Key Biodiversity Areas (ha),E12000001,1246.0
2003,England,North East,Arable,Area of Key Biodiversity Areas within protected areas (ha),Hectares (ha),Area of Key Biodiversity Areas within protected areas (ha),E12000001,1193.0
2003,England,North East,Arable,Area of Key Biodiversity Areas within protected areas (%),Percentage (%),Area of Key Biodiversity Areas within protected areas (%),E12000001,96.0
2003,England,North East,Improved grassland,Area of Key Biodiversity Areas (ha),Hectares (ha),Area of Key Biodiversity Areas (ha),E12000001,26998.0
2003,England,North East,Improved grassland,Area of Key Biodiversity Areas within protected areas (ha),Hectares (ha),Area of Key Biodiversity Areas within protected areas (ha),E12000001,26445.0
2003,England,North East,Improved grassland,Area of Key Biodiversity Areas within protected areas (%),Percentage (%),Area of Key Biodiversity Areas within protected areas (%),E12000001,98.0
2003,England,North East,Semi-natural grassland,Area of Key Biodiversity Areas (ha),Hectares (ha),Area of Key Biodiversity Areas (ha),E12000001,31385.0
2003,England,North East,Semi-natural grassland,Area of Key Biodiversity Areas within protected areas (ha),Hectares (ha),Area of Key Biodiversity Areas within protected areas (ha),E12000001,31289.0
2003,England,North East,Semi-natural grassland,Area of Key Biodiversity Areas within protected areas (%),Percentage (%),Area of Key Biodiversity Areas within protected areas (%),E12000001,100.0
2003,England,North East,"Mountain, heath, bog",Area of Key Biodiversity Areas (ha),Hectares (ha),Area of Key Biodiversity Areas (ha),E12000001,72970.0
2003,England,North East,"Mountain, heath, bog",Area of Key Biodiversity Areas within protected areas (ha),Hectares (ha),Area of Key Biodiversity Areas within protected areas (ha),E12000001,72866.0
2003,England,North East,"Mountain, heath, bog",Area of Key Biodiversity Areas within protected areas (%),Percentage (%),Area of Key Biodiversity Areas within protected areas (%),E12000001,100.0
2003,England,North East,Saltwater,Area of Key Biodiversity Areas (ha),Hectares (ha),Area of Key Biodiversity Areas (ha),E12000001,246.0
2003,England,North East,Saltwater,Area of Key Biodiversity Areas within protected areas (ha),Hectares (ha),Area of Key Biodiversity Areas within protected areas (ha),E12000001,35.0
2003,England,North East,Saltwater,Area of Key Biodiversity Areas within protected areas (%),Percentage (%),Area of Key Biodiversity Areas within protected areas (%),E12000001,14.0
2003,England,North East,Freshwater,Area of Key Biodiversity Areas (ha),Hectares (ha),Area of Key Biodiversity Areas (ha),E12000001,1407.0
2003,England,North East,Freshwater,Area of Key Biodiversity Areas within protected areas (ha),Hectares (ha),Area of Key Biodiversity Areas within protected areas (ha),E12000001,1262.0
2003,England,North East,Freshwater,Area of Key Biodiversity Areas within protected areas (%),Percentage (%),Area of Key Biodiversity Areas within protected areas (%),E12000001,90.0
2003,England,North East,Coastal,Area of Key Biodiversity Areas (ha),Hectares (ha),Area of Key Biodiversity Areas (ha),E12000001,4869.0
2003,England,North East,Coastal,Area of Key Biodiversity Areas within protected areas (ha),Hectares (ha),Area of Key Biodiversity Areas within protected areas (ha),E12000001,209.0
2003,England,North East,Coastal,Area of Key Biodiversity Areas within protected areas (%),Percentage (%),Area of Key Biodiversity Areas within protected areas (%),E12000001,4.0
2003,England,North East,Built-up areas and gardens,Area of Key Biodiversity Areas (ha),Hectares (ha),Area of Key Biodiversity Areas (ha),E12000001,371.0
2003,England,North East,Built-up areas and gardens,Area of Key Biodiversity Areas within protected areas (ha),Hectares (ha),Area of Key Biodiversity Areas within protected areas (ha),E12000001,332.0
2003,England,North East,Built-up areas and gardens,Area of Key Biodiversity Areas within protected areas (%),Percentage (%),Area of Key Biodiversity Areas within protected areas (%),E12000001,89.0
2003,England,North West,Broadleaf woodland,Area of Key Biodiversity Areas (ha),Hectares (ha),Area of Key Biodiversity Areas (ha),E12000002,8317.0
2003,England,North West,Broadleaf woodland,Area of Key Biodiversity Areas within protected areas (ha),Hectares (ha),Area of Key Biodiversity Areas within protected areas (ha),E12000002,7372.0
2003,England,North West,Broadleaf woodland,Area of Key Biodiversity Areas within protected areas (%),Percentage (%),Area of Key Biodiversity Areas within protected areas (%),E12000002,89.0
2003,England,North West,Coniferous woodland,Area of Key Biodiversity Areas (ha),Hectares (ha),Area of Key Biodiversity Areas (ha),E12000002,5170.0
2003,England,North West,Coniferous woodland,Area of Key Biodiversity Areas within protected areas (ha),Hectares (ha),Area of Key Biodiversity Areas within protected areas (ha),E12000002,4961.0
2003,England,North West,Coniferous woodland,Area of Key Biodiversity Areas within protected areas (%),Percentage (%),Area of Key Biodiversity Areas within protected areas (%),E12000002,96.0
2003,England,North West,Arable,Area of Key Biodiversity Areas (ha),Hectares (ha),Area of Key Biodiversity Areas (ha),E12000002,1222.0
2003,England,North West,Arable,Area of Key Biodiversity Areas within protected areas (ha),Hectares (ha),Area of Key Biodiversity Areas within protected areas (ha),E12000002,735.0
2003,England,North West,Arable,Area of Key Biodiversity Areas within protected areas (%),Percentage (%),Area of Key Biodiversity Areas within protected areas (%),E12000002,60.0
2003,England,North West,Improved grassland,Area of Key Biodiversity Areas (ha),Hectares (ha),Area of Key Biodiversity Areas (ha),E12000002,51265.0
2003,England,North West,Improved grassland,Area of Key Biodiversity Areas within protected areas (ha),Hectares (ha),Area of Key Biodiversity Areas within protected areas (ha),E12000002,50261.0
2003,England,North West,Improved grassland,Area of Key Biodiversity Areas within protected areas (%),Percentage (%),Area of Key Biodiversity Areas within protected areas (%),E12000002,98.0
2003,England,North West,Semi-natural grassland,Area of Key Biodiversity Areas (ha),Hectares (ha),Area of Key Biodiversity Areas (ha),E12000002,75896.0
2003,England,North West,Semi-natural grassland,Area of Key Biodiversity Areas within protected areas (ha),Hectares (ha),Area of Key Biodiversity Areas within protected areas (ha),E12000002,75755.0
2003,England,North West,Semi-natural grassland,Area of Key Biodiversity Areas within protected areas (%),Percentage (%),Area of Key Biodiversity Areas within protected areas (%),E12000002,100.0
2003,England,North West,"Mountain, heath, bog",Area of Key Biodiversity Areas (ha),Hectares (ha),Area of Key Biodiversity Areas (ha),E12000002,66706.0
2003,England,North West,"Mountain, heath, bog",Area of Key Biodiversity Areas within protected areas (ha),Hectares (ha),Area of Key Biodiversity Areas within protected areas (ha),E12000002,66656.0
2003,England,North West,"Mountain, heath, bog",Area of Key Biodiversity Areas within protected areas (%),Percentage (%),Area of Key Biodiversity Areas within protected areas (%),E12000002,100.0
2003,England,North West,Saltwater,Area of Key Biodiversity Areas (ha),Hectares (ha),Area of Key Biodiversity Areas (ha),E12000002,4230.0
2003,England,North West,Saltwater,Area of Key Biodiversity Areas within protected areas (ha),Hectares (ha),Area of Key Biodiversity Areas within protected areas (ha),E12000002,0.0
2003,England,North West,Saltwater,Area of Key Biodiversity Areas within protected areas (%),Percentage (%),Area of Key Biodiversity Areas within protected areas (%),E12000002,0.0
2003,England,North West,Freshwater,Area of Key Biodiversity Areas (ha),Hectares (ha),Area of Key Biodiversity Areas (ha),E12000002,2580.0
2003,England,North West,Freshwater,Area of Key Biodiversity Areas within protected areas (ha),Hectares (ha),Area of Key Biodiversity Areas within protected areas (ha),E12000002,2360.0
2003,England,North West,Freshwater,Area of Key Biodiversity Areas within protected areas (%),Percentage (%),Area of Key Biodiversity Areas within protected areas (%),E12000002,91.0
2003,England,North West,Coastal,Area of Key Biodiversity Areas (ha),Hectares (ha),Area of Key Biodiversity Areas (ha),E12000002,71430.0
2003,England,North West,Coastal,Area of Key Biodiversity Areas within protected areas (ha),Hectares (ha),Area of Key Biodiversity Areas within protected areas (ha),E12000002,1064.0
2003,England,North West,Coastal,Area of Key Biodiversity Areas within protected areas (%),Percentage (%),Area of Key Biodiversity Areas within protected areas (%),E12000002,1.0
2003,England,North West,Built-up areas and gardens,Area of Key Biodiversity Areas (ha),Hectares (ha),Area of Key Biodiversity Areas (ha),E12000002,1164.0
2003,England,North West,Built-up areas and gardens,Area of Key Biodiversity Areas within protected areas (ha),Hectares (ha),Area of Key Biodiversity Areas within protected areas (ha),E12000002,766.0
2003,England,North West,Built-up areas and gardens,Area of Key Biodiversity Areas within protected areas (%),Percentage (%),Area of Key Biodiversity Areas within protected areas (%),E12000002,66.0
2003,England,Yorkshire and The Humber,Broadleaf woodland,Area of Key Biodiversity Areas (ha),Hectares (ha),Area of Key Biodiversity Areas (ha),E12000003,16207.0
2003,England,Yorkshire and The Humber,Broadleaf woodland,Area of Key Biodiversity Areas within protected areas (ha),Hectares (ha),Area of Key Biodiversity Areas within protected areas (ha),E12000003,16061.0
2003,England,Yorkshire and The Humber,Broadleaf woodland,Area of Key Biodiversity Areas within protected areas (%),Percentage (%),Area of Key Biodiversity Areas within protected areas (%),E12000003,99.0
2003,England,Yorkshire and The Humber,Coniferous woodland,Area of Key Biodiversity Areas (ha),Hectares (ha),Area of Key Biodiversity Areas (ha),E12000003,22663.0
2003,England,Yorkshire and The Humber,Coniferous woodland,Area of Key Biodiversity Areas within protected areas (ha),Hectares (ha),Area of Key Biodiversity Areas within protected areas (ha),E12000003,22600.0
2003,England,Yorkshire and The Humber,Coniferous woodland,Area of Key Biodiversity Areas within protected areas (%),Percentage (%),Area of Key Biodiversity Areas within protected areas (%),E12000003,100.0
2003,England,Yorkshire and The Humber,Arable,Area of Key Biodiversity Areas (ha),Hectares (ha),Area of Key Biodiversity Areas (ha),E12000003,13966.0
2003,England,Yorkshire and The Humber,Arable,Area of Key Biodiversity Areas within protected areas (ha),Hectares (ha),Area of Key Biodiversity Areas within protected areas (ha),E12000003,13306.0
2003,England,Yorkshire and The Humber,Arable,Area of Key Biodiversity Areas within protected areas (%),Percentage (%),Area of Key Biodiversity Areas within protected areas (%),E12000003,95.0
2003,England,Yorkshire and The Humber,Improved grassland,Area of Key Biodiversity Areas (ha),Hectares (ha),Area of Key Biodiversity Areas (ha),E12000003,82902.0
2003,England,Yorkshire and The Humber,Improved grassland,Area of Key Biodiversity Areas within protected areas (ha),Hectares (ha),Area of Key Biodiversity Areas within protected areas (ha),E12000003,82203.0
2003,England,Yorkshire and The Humber,Improved grassland,Area of Key Biodiversity Areas within protected areas (%),Percentage (%),Area of Key Biodiversity Areas within protected areas (%),E12000003,99.0
2003,England,Yorkshire and The Humber,Semi-natural grassland,Area of Key Biodiversity Areas (ha),Hectares (ha),Area of Key Biodiversity Areas (ha),E12000003,64764.0
2003,England,Yorkshire and The Humber,Semi-natural grassland,Area of Key Biodiversity Areas within protected areas (ha),Hectares (ha),Area of Key Biodiversity Areas within protected areas (ha),E12000003,64421.0
2003,England,Yorkshire and The Humber,Semi-natural grassland,Area of Key Biodiversity Areas within protected areas (%),Percentage (%),Area of Key Biodiversity Areas within protected areas (%),E12000003,99.0
2003,England,Yorkshire and The Humber,"Mountain, heath, bog",Area of Key Biodiversity Areas (ha),Hectares (ha),Area of Key Biodiversity Areas (ha),E12000003,152239.0
2003,England,Yorkshire and The Humber,"Mountain, heath, bog",Area of Key Biodiversity Areas within protected areas (ha),Hectares (ha),Area of Key Biodiversity Areas within protected areas (ha),E12000003,151732.0
2003,England,Yorkshire and The Humber,"Mountain, heath, bog",Area of Key Biodiversity Areas within protected areas (%),Percentage (%),Area of Key Biodiversity Areas within protected areas (%),E12000003,100.0
2003,England,Yorkshire and The Humber,Saltwater,Area of Key Biodiversity Areas (ha),Hectares (ha),Area of Key Biodiversity Areas (ha),E12000003,4670.0
2003,England,Yorkshire and The Humber,Saltwater,Area of Key Biodiversity Areas within protected areas (ha),Hectares (ha),Area of Key Biodiversity Areas within protected areas (ha),E12000003,119.0
2003,England,Yorkshire and The Humber,Saltwater,Area of Key Biodiversity Areas within protected areas (%),Percentage (%),Area of Key Biodiversity Areas within protected areas (%),E12000003,3.0
2003,England,Yorkshire and The Humber,Freshwater,Area of Key Biodiversity Areas (ha),Hectares (ha),Area of Key Biodiversity Areas (ha),E12000003,1157.0
2003,England,Yorkshire and The Humber,Freshwater,Area of Key Biodiversity Areas within protected areas (ha),Hectares (ha),Area of Key Biodiversity Areas within protected areas (ha),E12000003,1084.0
2003,England,Yorkshire and The Humber,Freshwater,Area of Key Biodiversity Areas within protected areas (%),Percentage (%),Area of Key Biodiversity Areas within protected areas (%),E12000003,94.0
2003,England,Yorkshire and The Humber,Coastal,Area of Key Biodiversity Areas (ha),Hectares (ha),Area of Key Biodiversity Areas (ha),E12000003,6986.0
2003,England,Yorkshire and The Humber,Coastal,Area of Key Biodiversity Areas within protected areas (ha),Hectares (ha),Area of Key Biodiversity Areas within protected areas (ha),E12000003,657.0
2003,England,Yorkshire and The Humber,Coastal,Area of Key Biodiversity Areas within protected areas (%),Percentage (%),Area of Key Biodiversity Areas within protected areas (%),E12000003,9.0
2003,England,Yorkshire and The Humber,Built-up areas and gardens,Area of Key Biodiversity Areas (ha),Hectares (ha),Area of Key Biodiversity Areas (ha),E12000003,1712.0
2003,England,Yorkshire and The Humber,Built-up areas and gardens,Area of Key Biodiversity Areas within protected areas (ha),Hectares (ha),Area of Key Biodiversity Areas within protected areas (ha),E12000003,1533.0
2003,England,Yorkshire and The Humber,Built-up areas and gardens,Area of Key Biodiversity Areas within protected areas (%),Percentage (%),Area of Key Biodiversity Areas within protected areas (%),E12000003,90.0
2003,England,East Midlands,Broadleaf woodland,Area of Key Biodiversity Areas (ha),Hectares (ha),Area of Key Biodiversity Areas (ha),E12000004,3467.0
2003,England,East Midlands,Broadleaf woodland,Area of Key Biodiversity Areas within protected areas (ha),Hectares (ha),Area of Key Biodiversity Areas within protected areas (ha),E12000004,1425.0
2003,England,East Midlands,Broadleaf woodland,Area of Key Biodiversity Areas within protected areas (%),Percentage (%),Area of Key Biodiversity Areas within protected areas (%),E12000004,41.0
2003,England,East Midlands,Coniferous woodland,Area of Key Biodiversity Areas (ha),Hectares (ha),Area of Key Biodiversity Areas (ha),E12000004,4741.0
2003,England,East Midlands,Coniferous woodland,Area of Key Biodiversity Areas within protected areas (ha),Hectares (ha),Area of Key Biodiversity Areas within protected areas (ha),E12000004,676.0
2003,England,East Midlands,Coniferous woodland,Area of Key Biodiversity Areas within protected areas (%),Percentage (%),Area of Key Biodiversity Areas within protected areas (%),E12000004,14.0
2003,England,East Midlands,Arable,Area of Key Biodiversity Areas (ha),Hectares (ha),Area of Key Biodiversity Areas (ha),E12000004,3969.0
2003,England,East Midlands,Arable,Area of Key Biodiversity Areas within protected areas (ha),Hectares (ha),Area of Key Biodiversity Areas within protected areas (ha),E12000004,148.0
2003,England,East Midlands,Arable,Area of Key Biodiversity Areas within protected areas (%),Percentage (%),Area of Key Biodiversity Areas within protected areas (%),E12000004,4.0
2003,England,East Midlands,Improved grassland,Area of Key Biodiversity Areas (ha),Hectares (ha),Area of Key Biodiversity Areas (ha),E12000004,1072.0
2003,England,East Midlands,Improved grassland,Area of Key Biodiversity Areas within protected areas (ha),Hectares (ha),Area of Key Biodiversity Areas within protected areas (ha),E12000004,378.0
2003,England,East Midlands,Improved grassland,Area of Key Biodiversity Areas within protected areas (%),Percentage (%),Area of Key Biodiversity Areas within protected areas (%),E12000004,35.0
2003,England,East Midlands,Semi-natural grassland,Area of Key Biodiversity Areas (ha),Hectares (ha),Area of Key Biodiversity Areas (ha),E12000004,7804.0
2003,England,East Midlands,Semi-natural grassland,Area of Key Biodiversity Areas within protected areas (ha),Hectares (ha),Area of Key Biodiversity Areas within protected areas (ha),E12000004,7694.0
2003,England,East Midlands,Semi-natural grassland,Area of Key Biodiversity Areas within protected areas (%),Percentage (%),Area of Key Biodiversity Areas within protected areas (%),E12000004,99.0
2003,England,East Midlands,"Mountain, heath, bog",Area of Key Biodiversity Areas (ha),Hectares (ha),Area of Key Biodiversity Areas (ha),E12000004,16912.0
2003,England,East Midlands,"Mountain, heath, bog",Area of Key Biodiversity Areas within protected areas (ha),Hectares (ha),Area of Key Biodiversity Areas within protected areas (ha),E12000004,16882.0
2003,England,East Midlands,"Mountain, heath, bog",Area of Key Biodiversity Areas within protected areas (%),Percentage (%),Area of Key Biodiversity Areas within protected areas (%),E12000004,100.0
2003,England,East Midlands,Saltwater,Area of Key Biodiversity Areas (ha),Hectares (ha),Area of Key Biodiversity Areas (ha),E12000004,636.0
2003,England,East Midlands,Saltwater,Area of Key Biodiversity Areas within protected areas (ha),Hectares (ha),Area of Key Biodiversity Areas within protected areas (ha),E12000004,2.0
2003,England,East Midlands,Saltwater,Area of Key Biodiversity Areas within protected areas (%),Percentage (%),Area of Key Biodiversity Areas within protected areas (%),E12000004,0.0
2003,England,East Midlands,Freshwater,Area of Key Biodiversity Areas (ha),Hectares (ha),Area of Key Biodiversity Areas (ha),E12000004,2088.0
2003,England,East Midlands,Freshwater,Area of Key Biodiversity Areas within protected areas (ha),Hectares (ha),Area of Key Biodiversity Areas within protected areas (ha),E12000004,1301.0
2003,England,East Midlands,Freshwater,Area of Key Biodiversity Areas within protected areas (%),Percentage (%),Area of Key Biodiversity Areas within protected areas (%),E12000004,62.0
2003,England,East Midlands,Coastal,Area of Key Biodiversity Areas (ha),Hectares (ha),Area of Key Biodiversity Areas (ha),E12000004,21592.0
2003,England,East Midlands,Coastal,Area of Key Biodiversity Areas within protected areas (ha),Hectares (ha),Area of Key Biodiversity Areas within protected areas (ha),E12000004,991.0
2003,England,East Midlands,Coastal,Area of Key Biodiversity Areas within protected areas (%),Percentage (%),Area of Key Biodiversity Areas within protected areas (%),E12000004,5.0
2003,England,East Midlands,Built-up areas and gardens,Area of Key Biodiversity Areas (ha),Hectares (ha),Area of Key Biodiversity Areas (ha),E12000004,92.0
2003,England,East Midlands,Built-up areas and gardens,Area of Key Biodiversity Areas within protected areas (ha),Hectares (ha),Area of Key Biodiversity Areas within protected areas (ha),E12000004,4.0
2003,England,East Midlands,Built-up areas and gardens,Area of Key Biodiversity Areas within protected areas (%),Percentage (%),Area of Key Biodiversity Areas within protected areas (%),E12000004,4.0
2003,England,West Midlands,Broadleaf woodland,Area of Key Biodiversity Areas (ha),Hectares (ha),Area of Key Biodiversity Areas (ha),E12000005,817.0
2003,England,West Midlands,Broadleaf woodland,Area of Key Biodiversity Areas within protected areas (ha),Hectares (ha),Area of Key Biodiversity Areas within protected areas (ha),E12000005,805.0
2003,England,West Midlands,Broadleaf woodland,Area of Key Biodiversity Areas within protected areas (%),Percentage (%),Area of Key Biodiversity Areas within protected areas (%),E12000005,99.0
2003,England,West Midlands,Coniferous woodland,Area of Key Biodiversity Areas (ha),Hectares (ha),Area of Key Biodiversity Areas (ha),E12000005,2275.0
2003,England,West Midlands,Coniferous woodland,Area of Key Biodiversity Areas within protected areas (ha),Hectares (ha),Area of Key Biodiversity Areas within protected areas (ha),E12000005,2274.0
2003,England,West Midlands,Coniferous woodland,Area of Key Biodiversity Areas within protected areas (%),Percentage (%),Area of Key Biodiversity Areas within protected areas (%),E12000005,100.0
2003,England,West Midlands,Arable,Area of Key Biodiversity Areas (ha),Hectares (ha),Area of Key Biodiversity Areas (ha),E12000005,141.0
2003,England,West Midlands,Arable,Area of Key Biodiversity Areas within protected areas (ha),Hectares (ha),Area of Key Biodiversity Areas within protected areas (ha),E12000005,139.0
2003,England,West Midlands,Arable,Area of Key Biodiversity Areas within protected areas (%),Percentage (%),Area of Key Biodiversity Areas within protected areas (%),E12000005,98.0
2003,England,West Midlands,Improved grassland,Area of Key Biodiversity Areas (ha),Hectares (ha),Area of Key Biodiversity Areas (ha),E12000005,634.0
2003,England,West Midlands,Improved grassland,Area of Key Biodiversity Areas within protected areas (ha),Hectares (ha),Area of Key Biodiversity Areas within protected areas (ha),E12000005,631.0
2003,England,West Midlands,Improved grassland,Area of Key Biodiversity Areas within protected areas (%),Percentage (%),Area of Key Biodiversity Areas within protected areas (%),E12000005,100.0
2003,England,West Midlands,Semi-natural grassland,Area of Key Biodiversity Areas (ha),Hectares (ha),Area of Key Biodiversity Areas (ha),E12000005,970.0
2003,England,West Midlands,Semi-natural grassland,Area of Key Biodiversity Areas within protected areas (ha),Hectares (ha),Area of Key Biodiversity Areas within protected areas (ha),E12000005,970.0
2003,England,West Midlands,Semi-natural grassland,Area of Key Biodiversity Areas within protected areas (%),Percentage (%),Area of Key Biodiversity Areas within protected areas (%),E12000005,100.0
2003,England,West Midlands,"Mountain, heath, bog",Area of Key Biodiversity Areas (ha),Hectares (ha),Area of Key Biodiversity Areas (ha),E12000005,2276.0
2003,England,West Midlands,"Mountain, heath, bog",Area of Key Biodiversity Areas within protected areas (ha),Hectares (ha),Area of Key Biodiversity Areas within protected areas (ha),E12000005,2275.0
2003,England,West Midlands,"Mountain, heath, bog",Area of Key Biodiversity Areas within protected areas (%),Percentage (%),Area of Key Biodiversity Areas within protected areas (%),E12000005,100.0
2003,England,West Midlands,Freshwater,Area of Key Biodiversity Areas (ha),Hectares (ha),Area of Key Biodiversity Areas (ha),E12000005,234.0
2003,England,West Midlands,Freshwater,Area of Key Biodiversity Areas within protected areas (ha),Hectares (ha),Area of Key Biodiversity Areas within protected areas (ha),E12000005,234.0
2003,England,West Midlands,Freshwater,Area of Key Biodiversity Areas within protected areas (%),Percentage (%),Area of Key Biodiversity Areas within protected areas (%),E12000005,100.0
2003,England,West Midlands,Built-up areas and gardens,Area of Key Biodiversity Areas (ha),Hectares (ha),Area of Key Biodiversity Areas (ha),E12000005,40.0
2003,England,West Midlands,Built-up areas and gardens,Area of Key Biodiversity Areas within protected areas (ha),Hectares (ha),Area of Key Biodiversity Areas within protected areas (ha),E12000005,37.0
2003,England,West Midlands,Built-up areas and gardens,Area of Key Biodiversity Areas within protected areas (%),Percentage (%),Area of Key Biodiversity Areas within protected areas (%),E12000005,91.0
2003,England,East,Broadleaf woodland,Area of Key Biodiversity Areas (ha),Hectares (ha),Area of Key Biodiversity Areas (ha),E12000007,7594.0
2003,England,East,Broadleaf woodland,Area of Key Biodiversity Areas within protected areas (ha),Hectares (ha),Area of Key Biodiversity Areas within protected areas (ha),E12000007,6894.0
2003,England,East,Broadleaf woodland,Area of Key Biodiversity Areas within protected areas (%),Percentage (%),Area of Key Biodiversity Areas within protected areas (%),E12000007,91.0
2003,England,East,Coniferous woodland,Area of Key Biodiversity Areas (ha),Hectares (ha),Area of Key Biodiversity Areas (ha),E12000007,20375.0
2003,England,East,Coniferous woodland,Area of Key Biodiversity Areas within protected areas (ha),Hectares (ha),Area of Key Biodiversity Areas within protected areas (ha),E12000007,19877.0
2003,England,East,Coniferous woodland,Area of Key Biodiversity Areas within protected areas (%),Percentage (%),Area of Key Biodiversity Areas within protected areas (%),E12000007,98.0
2003,England,East,Arable,Area of Key Biodiversity Areas (ha),Hectares (ha),Area of Key Biodiversity Areas (ha),E12000007,19703.0
2003,England,East,Arable,Area of Key Biodiversity Areas within protected areas (ha),Hectares (ha),Area of Key Biodiversity Areas within protected areas (ha),E12000007,13156.0
2003,England,East,Arable,Area of Key Biodiversity Areas within protected areas (%),Percentage (%),Area of Key Biodiversity Areas within protected areas (%),E12000007,67.0
2003,England,East,Improved grassland,Area of Key Biodiversity Areas (ha),Hectares (ha),Area of Key Biodiversity Areas (ha),E12000007,12378.0
2003,England,East,Improved grassland,Area of Key Biodiversity Areas within protected areas (ha),Hectares (ha),Area of Key Biodiversity Areas within protected areas (ha),E12000007,8194.0
2003,England,East,Improved grassland,Area of Key Biodiversity Areas within protected areas (%),Percentage (%),Area of Key Biodiversity Areas within protected areas (%),E12000007,66.0
2003,England,East,Semi-natural grassland,Area of Key Biodiversity Areas (ha),Hectares (ha),Area of Key Biodiversity Areas (ha),E12000007,11314.0
